trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,etRecord.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.730944834002003,15.730944834002003,t,63.70460487499804,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
3,PRED,12,1.1938205159608626,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1938205159608626,2.1938205159608626,0.8061794840391374,3,1,1.9438205159608624,0,0,0,0,0,0,0,0,3,,,,,79.44630662500276,91.48565104199952,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
3,PRED,12,1.1938205159608626,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1938205159608626,2.1938205159608626,0.8061794840391374,3,1,1.9438205159608624,0,0,0,0,0,0,0,0,3,,,,,,,0.005440666998765664,91.48565104199952,91.48565104199952,92.49382854199939,93.4271341670028,93.67900487500083,93.67900487500083,93.67900487500083,94.47909224999967,94.49362312499943,94.49362312499943,94.49362312499943,4.0097832499996,95.51343650000126,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,0.9550047230070856,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.9550047230070856,1.9550047230070853,1.0449952769929145,3,1,1.7050047230070855,0,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,0.9550047230070856,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.9550047230070856,1.9550047230070853,1.0449952769929145,3,1,1.7050047230070855,0,0,0,0,0,0,1,1,6,,,,,,,0.005091999999422114,95.51343650000126,95.51343650000126,96.52713920899987,97.22710170900245,97.44638633400245,97.44638633400245,97.44638633400245,98.49380200000087,98.49380200000087,98.49380200000087,98.49380200000087,4.02986704200157,99.49384416700195,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
7,PRED,12,0.7318853340304521,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.7318853340304521,1.731885334030452,1.268114665969548,3,1,1.481885334030452,0,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
7,PRED,12,0.7318853340304521,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.7318853340304521,1.731885334030452,1.268114665969548,3,1,1.481885334030452,0,0,0,0,0,0,2,2,7,,,,,,,0.004984458999388153,99.54713987500145,99.54713987500145,100.56076112500159,101.02729441700285,101.26023875000101,101.26023875000101,101.26023875000101,102.52712900000188,102.52712900000188,102.52712900000188,102.52712900000188,4.029858124999009,103.527205917002,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
5,PRED,12,0.6693413888051982,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6693413888051982,1.6693413888051982,1.3306586111948018,3,1,1.4193413888051982,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
5,PRED,12,0.6693413888051982,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6693413888051982,1.6693413888051982,1.3306586111948018,3,1,1.4193413888051982,0,0,0,0,0,0,3,3,5,,,,,,,0.004815457999939099,103.58028395899964,103.58028395899964,104.59340412500023,105.01306170899989,105.2270973750019,105.2270973750019,105.2270973750019,106.56074200000148,106.56074200000148,106.56074200000148,106.56074200000148,4.03043466699819,107.56080245900012,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
2,PRED,12,1.1284230863117128,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1284230863117128,2.128423086311713,0.8715769136882869,3,1,1.878423086311713,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
