trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,roi.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,roi.stopped,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.083800249994965,22.083800249994965,t,1.518878750008298,,,,,,,,,,,,,,,,,,,,100001,001,2023-04-14_10h08.26.742,DMS_etROI_12-36,2022.2.4,None,
7,PRED,12,0.9532221950092185,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0,1,1,0.9532221950092185,1.9532221950092183,1.0467778049907817,3.0,1,1.7032221950092183,0,4.0,3.0,1,2,0,0,0,0,0,0,0,7,,,,,24.111551709007472,36.16523408400826,36.16523408400826,36.16523408400826,37.16893716700724,37.882678624999244,38.101613584003644,38.101613584003644,38.101613584003644,38.101613584003644,39.148935417004395,39.148935417004395,39.148935417004395,39.148935417004395,39.148935417004395,40.169187749997946,0,,,100001,001,2023-04-14_10h08.26.742,DMS_etROI_12-36,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.169187749997946,40.169187749997946,41.18265491700731,41.88264383398928,42.10180004200083,42.10180004200083,42.10180004200083,42.10180004200083,,,,,,,,,,,,,,,,
