paradigm_name,trialNum,cue_onset,cue_dur,delayTime,delay_resp_period,rest_dur,trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,roi.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,roi.stopped,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.77837250000448,27.77837250000448,t,2.2371713340107817,,,,,,,,,,,,,,,,,,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,0,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,0,0,0,,,,,30.029309415986063,42.06291958299698,42.06291958299698,42.06291958299698,42.26191645799554,42.47935583299841,42.71305008299532,42.71305008299532,42.71305008299532,42.71305008299532,43.062850540998625,43.062850540998625,43.062850540998625,43.062850540998625,43.062850540998625,43.26239774998976,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,4,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,1,1,4,,,,,,,43.26239774998976,43.26239774998976,43.462518832995556,43.6787757499842,43.91270104100113,43.91270104100113,43.91270104100113,43.91270104100113,44.262743957981,44.262743957981,44.262743957981,44.262743957981,44.262743957981,44.461974082980305,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,1,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,2,2,1,,,,,,,44.461974082980305,44.461974082980305,44.66192549999687,44.87849166599335,45.11185762498644,45.11185762498644,45.11185762498644,45.11185762498644,45.46176366598229,45.46176366598229,45.46176366598229,45.46176366598229,45.46176366598229,45.66201158298645,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,6,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,3,3,6,,,,,,,45.66201158298645,45.66201158298645,45.862406125001144,46.079460040986305,46.312885749997804,46.312885749997804,46.312885749997804,46.312885749997804,46.662176790996455,46.662176790996455,46.662176790996455,46.64512666600058,46.662176790996455,46.84500779098016,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,10,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,4,4,10,,,,,,,46.84500779098016,46.84500779098016,47.0462046659959,47.26225158298621,47.495732165989466,47.495732165989466,47.495732165989466,47.495732165989466,47.846252415998606,47.846252415998606,47.846252415998606,47.846252415998606,47.846252415998606,48.04511945799459,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,8,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,5,5,8,,,,,,,48.04511945799459,48.04511945799459,48.24565100000473,48.4625242909824,48.69598520800355,48.69598520800355,48.69598520800355,48.69598520800355,49.04612637500395,49.04612637500395,49.04612637500395,49.04612637500395,49.04612637500395,49.24505429097917,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,16,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,6,6,16,,,,,,,49.24505429097917,49.24505429097917,49.44599029098754,49.66262233298039,49.8963213749812,49.8963213749812,49.8963213749812,49.8963213749812,50.245904790994246,50.245904790994246,50.245904790994246,50.245904790994246,50.245904790994246,50.44510404099128,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,9,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,7,7,9,,,,,,,50.44510404099128,50.44510404099128,50.64572641599807,50.86240949999774,51.09617312499904,51.09617312499904,51.09617312499904,51.09617312499904,51.44579916598741,51.44579916598741,51.44579916598741,51.44579916598741,51.44579916598741,51.64509549998911,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,15,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,8,8,15,,,,,,,51.64509549998911,51.64509549998911,51.84518574998947,52.06244370798231,52.29662916599773,52.29662916599773,52.29662916599773,52.29662916599773,52.64592325000558,52.64592325000558,52.64592325000558,52.64592325000558,52.64592325000558,52.84545370799606,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
