paradigm_name,trialNum,cue_onset,cue_dur,delayTime,delay_resp_period,rest_dur,trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,roi.started,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,roi.stopped,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.371244833018864,29.371244833018864,t,13.802471167000476,,,,,,,,,,,,,,,,,,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,32,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,0,0,32,,,,,43.69223216699902,55.74634979199618,55.74634979199618,55.74634979199618,55.85077024999191,56.07045691701933,56.30456491699442,56.30456491699442,56.30456491699442,56.30456491699442,56.537357249995694,56.55114366702037,56.55114366702037,56.55114366702037,56.55114366702037,56.66973933301051,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,33,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,1,1,33,,,,,,,56.66973933301051,56.66973933301051,56.78439683301258,57.00457716701203,57.21771045800415,57.21771045800415,57.21771045800415,57.21771045800415,57.4510547920072,57.4510547920072,57.4510547920072,57.4510547920072,57.4510547920072,57.5698655419983,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,11,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,2,2,11,,,,,,,57.5698655419983,57.5698655419983,57.68450649999431,57.904018041997915,58.117716542008566,58.117716542008566,58.117716542008566,58.117716542008566,58.351108500006376,58.351108500006376,58.351108500006376,58.351108500006376,58.351108500006376,58.4697932919953,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,37,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,3,3,37,,,,,,,58.4697932919953,58.4697932919953,58.584565875004046,58.80378020799253,59.01784183300333,59.01784183300333,59.01784183300333,59.01784183300333,59.25112370800343,59.25112370800343,59.25112370800343,59.25112370800343,59.25112370800343,59.369734458014136,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,17,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,4,4,17,,,,,,,59.369734458014136,59.369734458014136,59.484407292009564,59.70399787501083,59.91769887501141,59.91769887501141,59.91769887501141,59.91769887501141,60.151148958015256,60.151148958015256,60.151148958015256,60.151148958015256,60.151148958015256,60.27011625000159,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,36,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,5,5,36,,,,,,,60.27011625000159,60.27011625000159,60.384216167003615,60.60434954200173,60.81746516699786,60.81746516699786,60.81746516699786,60.81746516699786,61.051083250000374,61.051083250000374,61.051083250000374,61.051083250000374,61.051083250000374,61.17043020800338,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,29,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,6,6,29,,,,,,,61.17043020800338,61.17043020800338,61.28416708300938,61.50315233299625,61.71744791700621,61.71744791700621,61.71744791700621,61.71744791700621,61.950833667011466,61.950833667011466,61.950833667011466,61.950833667011466,61.950833667011466,62.05149116701796,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,26,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,7,7,26,,,,,,,62.05149116701796,62.05149116701796,62.15084995800862,62.384320208017016,62.617512958007865,62.617512958007865,62.617512958007865,62.617512958007865,62.85112641699379,62.85112641699379,62.85112641699379,62.85112641699379,62.85112641699379,62.97048950000317,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
stimBlast2,40,0,0.1,0.4690971631739732,0.7,0.1,8,PRED,12,0.4690971631739732,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.1,0.4690971631739732,0.5690971631739732,0.23090283682602675,0.7999999999999999,0.3190971631739732,0,0.8999999999999999,0.7999999999999999,0.1,0,0,0,0,0,8,8,8,,,,,,,62.97048950000317,62.97048950000317,63.08444100001361,63.30399395801942,63.51756683300482,63.51756683300482,63.51756683300482,63.51756683300482,63.750918625009945,63.750918625009945,63.750918625009945,63.750918625009945,63.750918625009945,63.870162542007165,0,,,100001,001,2023-04-14_09h54.24.039,DMS_etROI_12-36_stimBlast,2022.2.4,None,
