trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,polygon.stopped,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.656163958017714,18.656163958017714,t,42.89441408298444,,,,,,,,,,,,,,,,,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
2,PRED,12,0.5508589277375443,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.5508589277375443,1.5508589277375444,1.4491410722624556,3,1,1.3008589277375444,0,0,0,0,0,0,0,0,2,,,,,61.56007920799311,73.59269254200626,,,,,,,,,,,,,,,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
2,PRED,12,0.5508589277375443,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.5508589277375443,1.5508589277375444,1.4491410722624556,3,1,1.3008589277375444,0,0,0,0,0,0,0,0,2,,,,,,,0.0030960829462856054,73.59269254200626,73.59269254200626,74.60724237497197,74.90702837501885,75.12588520802092,75.12588520802092,75.12588520802092,76.57366583298426,76.57366583298426,76.57366583298426,76.57366583298426,77.57392608298687,4.021453665976878,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
8,PRED,12,0.7447781493598888,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.7447781493598888,1.7447781493598888,1.2552218506401112,3,1,1.4947781493598888,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
8,PRED,12,0.7447781493598888,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.7447781493598888,1.7447781493598888,1.2552218506401112,3,1,1.4947781493598888,0,0,0,0,0,0,1,1,8,,,,,,,0.003549416025634855,77.62648329196963,77.62648329196963,78.6406622499926,79.12681012501707,79.34029845800251,79.34029845800251,79.34029845800251,80.60722825000994,80.60722825000994,80.60722825000994,80.60722825000994,81.6072293749894,4.029912750003859,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,0.5704737986745197,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.5704737986745197,1.5704737986745196,1.4295262013254804,3,1,1.3204737986745196,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,0.5704737986745197,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.5704737986745197,1.5704737986745196,1.4295262013254804,3,1,1.3204737986745196,0,0,0,0,0,0,2,2,0,,,,,,,0.0033190419781021774,81.64185129199177,81.64185129199177,82.64062575000571,82.97403183300048,83.20679712499259,83.20679712499259,83.20679712499259,84.64047604199732,84.64047604199732,84.64047604199732,84.64047604199732,85.6401579999947,3.9962883749976754,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,1.0930683979271378,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0930683979271378,2.093068397927138,0.906931602072862,3,1,1.8430683979271383,0,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,1.0930683979271378,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0930683979271378,2.093068397927138,0.906931602072862,3,1,1.8430683979271383,0,0,0,0,0,0,3,3,6,,,,,,,0.003082374983932823,85.6401579999947,85.6401579999947,86.64050633297302,87.49308337498223,87.7264181249775,87.7264181249775,87.7264181249775,88.64057391701499,88.64057391701499,88.64057391701499,88.64057391701499,89.64128708298085,3.9971651249798015,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
3,PRED,12,1.1646189615568934,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.1646189615568934,2.1646189615568936,0.8353810384431066,3,1,1.9146189615568936,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,200002,004,2023-03-16_15h59.42.722,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
