trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,n,order,,,,,,,,
0,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,6.0, , , , , , , , 
1,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,2.0, , , , , , , , 
2,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,0.0, , , , , , , , 
3,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,5.0, , , , , , , , 
4,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,7.0, , , , , , , , 
5,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,1.0, , , , , , , , 
6,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,8.0, , , , , , , , 
7,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,3.0, , , , , , , , 
8,PRED,12,0.7759925450803846,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.7759925450803846,1.7759925450803846,1.2240074549196154,3.0,1,1.5259925450803846,0,4.0,3.0,1,2,1.0,4.0, , , , , , , , 

extraInfo
participant,200004
session,004
date,2023-03-31_11h13.38.434
expName,DMS_et_12-36
psychopyVersion,2022.2.4
frameRate,None
