trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.78504104097374,99.78504104097374,t,172.5232057920075,,,,,,,,,,,,,,,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
8,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,0,0,8,,,,,272.82463679101784,284.88143437501276,284.88143437501276,284.88143437501276,285.89621104102116,286.3294754580129,286.52945233299397,286.52945233299397,286.52945233299397,287.84327537502395,287.84327537502395,287.84327537502395,287.84327537502395,288.8624074580148,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
5,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,1,1,5,,,,,,,288.8624074580148,288.8624074580148,289.8769154580077,290.3101969159907,290.5294955410063,290.5294955410063,290.5294955410063,291.8436977909878,291.8436977909878,291.8436977909878,291.8436977909878,292.862081957981,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
4,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,2,2,4,,,,,,,292.862081957981,292.862081957981,293.8768797079683,294.3103142909822,294.5301489579724,294.5301489579724,294.5301489579724,295.84356279100757,295.84356279100757,295.84356279100757,295.84356279100757,296.86288383300416,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
6,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,3,3,6,,,,,,,296.86288383300416,296.86288383300416,297.8768955830019,298.31006499996874,298.5296305830125,298.5296305830125,298.5296305830125,299.8436090829782,299.8436090829782,299.8436090829782,299.8436090829782,300.8628877499723,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
0,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,4,4,0,,,,,,,300.8628877499723,300.8628877499723,301.87686279101763,302.3100982080214,302.5297600000049,302.5297600000049,302.5297600000049,303.8435776659753,303.8435776659753,303.8435776659753,303.8435776659753,304.8628442080226,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
3,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,5,5,3,,,,,,,304.8628442080226,304.8628442080226,305.87701204098994,306.31028362497455,306.52872887498233,306.52872887498233,306.52872887498233,307.8432607499999,307.8432607499999,307.8432607499999,307.8432607499999,308.86203858297085,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
7,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,6,6,7,,,,,,,308.86203858297085,308.86203858297085,309.87685095798224,310.3103621249902,310.52969574998133,310.52969574998133,310.52969574998133,311.8437816660153,311.8437816660153,311.8437816660153,311.8437816660153,312.8624573330162,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
1,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,7,7,1,,,,,,,312.8624573330162,312.8624573330162,313.87704325001687,314.3101536660106,314.52964670798974,314.52964670798974,314.52964670798974,315.84358975000214,315.84358975000214,315.84358975000214,315.84358975000214,316.86228637502063,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
2,PRED,12,0.6850590835942414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6850590835942414,1.6850590835942414,1.3149409164057586,3.0,1,1.4350590835942414,0,4.0,3.0,1,2,0,0,0,0,0,8,8,2,,,,,,,316.86228637502063,316.86228637502063,317.87668408302125,318.3100912909722,318.52900008298457,318.52900008298457,318.52900008298457,319.84373633301584,319.84373633301584,319.84373633301584,319.84373633301584,320.8674388329964,200007,001,2023-04-11_08h39.15.080,DMS_et_12-36,2022.2.4,None,
