trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,etRecord.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.96164387499448,43.96164387499448,t,91.88049708399922,,,,,,,,,,,,,,,,,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,0.9038668213336334,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.9038668213336334,1.9038668213336332,1.0961331786663666,3,1,1.6538668213336334,0,0,0,0,0,0,0,0,0,,,,,135.85383420798462,147.8823579159798,,,,,,,,,,,,,,,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,0.9038668213336334,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.9038668213336334,1.9038668213336332,1.0961331786663666,3,1,1.6538668213336334,0,0,0,0,0,0,0,0,0,,,,,,,0.005835167015902698,147.8823579159798,147.8823579159798,148.88772258302197,149.54009762499481,149.77372000005562,149.77372000005562,149.77372000005562,150.87245616596192,150.87245616596192,150.87245616596192,150.87245616596192,4.007234958931804,151.90700758306775,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
1,PRED,12,0.6532235790012532,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.6532235790012532,1.6532235790012533,1.3467764209987467,3,1,1.4032235790012533,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
1,PRED,12,0.6532235790012532,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.6532235790012532,1.6532235790012533,1.3467764209987467,3,1,1.4032235790012533,0,0,0,0,0,0,1,1,1,,,,,,,0.005072082974947989,151.90700758306775,151.90700758306775,152.92109033302404,153.3209577499656,153.5405409160303,153.5405409160303,153.5405409160303,154.88762475003023,154.88762475003023,154.88762475003023,154.88762475003023,4.0297922500176355,155.8875596660655,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
4,PRED,12,0.6540524188619511,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6540524188619511,1.654052418861951,1.345947581138049,3,1,1.404052418861951,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
4,PRED,12,0.6540524188619511,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6540524188619511,1.654052418861951,1.345947581138049,3,1,1.404052418861951,0,0,0,0,0,0,2,2,4,,,,,,,0.00507299997843802,155.94030312506948,155.94030312506948,156.9538155409973,157.3540024580434,157.57282054098323,157.57282054098323,157.57282054098323,158.92106166598387,158.92106166598387,158.92106166598387,158.92106166598387,4.030751000042073,159.92083537497092,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,1.1269056495694725,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1269056495694725,2.1269056495694723,0.8730943504305277,3,1,1.8769056495694725,0,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,1.1269056495694725,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1269056495694725,2.1269056495694723,0.8730943504305277,3,1,1.8769056495694725,0,0,0,0,0,0,3,3,6,,,,,,,0.004694791976362467,159.97380816598888,159.97380816598888,160.98757304099854,161.8543006250402,162.07382029097062,162.07382029097062,162.07382029097062,162.95413512503728,162.95413512503728,162.95413512503728,162.95413512503728,4.030331042013131,163.95432958297897,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
5,PRED,12,0.7632523652738288,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.7632523652738288,1.7632523652738288,1.2367476347261712,3,1,1.5132523652738288,0,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,200002,206,2023-03-21_16h31.15.221,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
