trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,roi.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,roi.stopped,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.68479916700744,15.68479916700744,t,0.9522451670200098,,,,,,,,,,,,,,,,,,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
5,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,0,0,5,,,,,16.651112167019164,28.682432166999206,28.682432166999206,28.682432166999206,29.684375292010373,29.968188458005898,30.18516258301679,30.18516258301679,30.18516258301679,30.18516258301679,31.6682132499991,31.6682132499991,31.6682132499991,31.6682132499991,31.6682132499991,32.68035924999276,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
2,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,1,1,2,,,,,,,32.68035924999276,32.68035924999276,33.685089583013905,33.96878641701187,34.185583208018215,34.185583208018215,34.185583208018215,34.185583208018215,35.66824766699574,35.66824766699574,35.66824766699574,35.66824766699574,35.66824766699574,36.67956362501718,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
6,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,2,2,6,,,,,,,36.67956362501718,36.67956362501718,37.68482729201787,37.9681494999968,38.18587004201254,38.18587004201254,38.18587004201254,38.18587004201254,39.667962833016645,39.667962833016645,39.667962833016645,39.667962833016645,39.667962833016645,40.6786889579962,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
3,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,3,3,3,,,,,,,40.6786889579962,40.6786889579962,41.68462412501685,41.95148808299564,42.185854750016006,42.185854750016006,42.185854750016006,42.185854750016006,43.66801841699635,43.66801841699635,43.66801841699635,43.66801841699635,43.66801841699635,44.682319125015056,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
8,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,4,4,8,,,,,,,44.682319125015056,44.682319125015056,45.68531429200084,45.96812591701746,46.185239582991926,46.185239582991926,46.185239582991926,46.185239582991926,47.668534791999264,47.668534791999264,47.668534791999264,47.668534791999264,47.668534791999264,48.678612374991644,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
0,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,5,5,0,,,,,,,48.678612374991644,48.678612374991644,49.68451062499662,49.95129666701541,50.18479754199507,50.18479754199507,50.18479754199507,50.18479754199507,51.668458375002956,51.668458375002956,51.668458375002956,51.668458375002956,51.668458375002956,52.679703375004465,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
1,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,6,6,1,,,,,,,52.679703375004465,52.679703375004465,53.68501566699706,53.9690448330075,54.18598804200883,54.18598804200883,54.18598804200883,54.18598804200883,55.66870766700595,55.66870766700595,55.66870766700595,55.66870766700595,55.66870766700595,56.678695083013736,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
4,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,7,7,4,,,,,,,56.678695083013736,56.678695083013736,57.68506662501022,57.951707833010005,58.18522149999626,58.18522149999626,58.18522149999626,58.18522149999626,59.66794991699862,59.66794991699862,59.66794991699862,59.66794991699862,59.66794991699862,60.67908612501924,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
7,PRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,0,0,0,0,0,8,8,7,,,,,,,60.67908612501924,60.67908612501924,61.68556974999956,61.9688851670071,62.18558345802012,62.18558345802012,62.18558345802012,62.18558345802012,63.66902470801142,63.66902470801142,63.66902470801142,63.66902470801142,63.66902470801142,64.71332054201048,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,64.71332054201048,76.74302083300427,,,,,,,,,,,,,,,,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
