trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Response_1.started,Response_2.started,Response_3.started,Delay.stopped,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.stopped,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.56994991598185,158.56994991598185,t,64.46061112498865,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
5,PRED,12,0.674812367879708,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.674812367879708,1.6748123678797082,1.325187632120292,3,1,1.4248123678797082,0,0,0,0,0,0,0,0,5,,,,,223.04769141599536,235.6010064999573,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
5,PRED,12,0.674812367879708,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.674812367879708,1.6748123678797082,1.325187632120292,3,1,1.4248123678797082,0,0,0,0,0,0,0,0,5,,,,,,,0.004985125036910176,235.6010064999573,235.6010064999573,236.61483395798132,236.7623645409476,236.7623645409476,236.7623645409476,237.02941650000867,238.0818100409815,238.09557666594628,238.09557666594628,238.09557666594628,239.09588462498505,4.518255125032738,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,1.075128457307858,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.075128457307858,2.0751284573078577,0.924871542692142,3,1,1.8251284573078577,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,1.075128457307858,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.075128457307858,2.0751284573078577,0.924871542692142,3,1,1.8251284573078577,0,0,0,0,0,0,1,1,0,,,,,,,0.004957958939485252,240.62685845792294,240.62685845792294,241.629189249943,242.1820880000014,242.1820880000014,242.1820880000014,242.46232583292294,243.11440112499986,243.11440112499986,243.11440112499986,243.11440112499986,244.1293089579558,4.511275083990768,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
3,PRED,12,0.5427231093647411,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.5427231093647411,1.5427231093647409,1.4572768906352591,3,1,1.292723109364741,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
3,PRED,12,0.5427231093647411,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.5427231093647411,1.5427231093647409,1.4572768906352591,3,1,1.292723109364741,0,0,0,0,0,0,2,2,3,,,,,,,0.004868125077337027,245.65019487496465,245.65019487496465,246.66258574998938,246.66258574998938,246.66258574998938,246.66258574998938,246.94849541597068,248.12930191599298,248.12930191599298,248.12930191599298,248.12930191599298,249.12929583294317,4.526068959035911,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
8,PRED,12,0.6841889975428754,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.6841889975428754,1.6841889975428754,1.3158110024571246,3,1,1.4341889975428754,0,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
8,PRED,12,0.6841889975428754,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.6841889975428754,1.6841889975428754,1.3158110024571246,3,1,1.4341889975428754,0,0,0,0,0,0,3,3,8,,,,,,,0.0031750829657539725,250.68546666600741,250.68546666600741,251.69605583301745,251.84851662500296,251.84851662500296,251.84851662500296,252.12903541594278,253.16244629095308,253.16244629095308,253.16244629095308,253.16244629095308,254.1626506659668,4.519444082980044,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
1,PRED,12,0.5318170788255379,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.5318170788255379,1.531817078825538,1.468182921174462,3,1,1.281817078825538,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
