trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9395566250023,50.9395566250023,t,65.4478253749985,,,,,,,,,,,,,,,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
6,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,0,0,6,,,,,116.90540587500436,128.94001233299787,128.94001233299787,128.94001233299787,129.94947791700542,130.66888808300428,130.90240245799941,130.90240245799941,130.90240245799941,131.93577337500756,131.94947858300293,131.94947858300293,131.94947858300293,132.9487622500019,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
4,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,1,1,4,,,,,,,132.9487622500019,132.9487622500019,133.94964312500088,134.6681792080053,134.9158572919987,134.9158572919987,134.9158572919987,135.94944312500593,135.94944312500593,135.94944312500593,135.94944312500593,136.9484645830089,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
5,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,2,2,5,,,,,,,136.9484645830089,136.9484645830089,137.94949670800997,138.66911291700671,138.9161617080099,138.9161617080099,138.9161617080099,139.94951091700932,139.94951091700932,139.94951091700932,139.94951091700932,140.94899375000386,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
8,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,3,3,8,,,,,,,140.94899375000386,140.94899375000386,141.94962108301115,142.6687259580067,142.91616754200368,142.91616754200368,142.91616754200368,143.94944679200125,143.94944679200125,143.94944679200125,143.94944679200125,144.94910320801137,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
1,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,4,4,1,,,,,,,144.94910320801137,144.94910320801137,145.94944204200874,146.66915883299953,146.91621116700117,146.91621116700117,146.91621116700117,147.94965154200327,147.94965154200327,147.94965154200327,147.94965154200327,148.94849291699938,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
0,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,5,5,0,,,,,,,148.94849291699938,148.94849291699938,149.94968333300494,150.66881925000052,150.9162053750042,150.9162053750042,150.9162053750042,151.9494362920086,151.9494362920086,151.9494362920086,151.9494362920086,152.94952508300776,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
7,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,6,6,7,,,,,,,152.94952508300776,152.94952508300776,153.94943624999723,154.682550292011,154.91581375000533,154.91581375000533,154.91581375000533,155.94967037500464,155.94967037500464,155.94967037500464,155.94967037500464,156.94852133300446,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
2,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,7,7,2,,,,,,,156.94852133300446,156.94852133300446,157.94946016700123,158.6692274579982,158.91619741699833,158.91619741699833,158.91619741699833,159.94966312500765,159.94966312500765,159.94966312500765,159.94966312500765,160.94902900001034,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
3,PRED,12,0.9677503360575584,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.9677503360575584,1.9677503360575583,1.0322496639424417,3.0,1,1.7177503360575583,0,4.0,3.0,1,2,0,0,0,0,0,8,8,3,,,,,,,160.94902900001034,160.94902900001034,161.94964308300405,162.66915833301027,162.9162029170111,162.9162029170111,162.9162029170111,163.9494512079982,163.9494512079982,163.9494512079982,163.9494512079982,164.96807779200026,200003,304,2023-04-07_13h18.54.413,DMS_et_12-36,2022.2.4,None,
