trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59655020898208,42.59655020898208,t,12.202182709006593,,,,,,,,,,,,,,,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
7,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,0,0,7,,,,,55.31688749999739,67.36224179191049,67.36224179191049,67.36224179191049,68.37606599996798,69.2624752089614,69.4762572919717,69.4762572919717,69.4762572919717,70.34299495897721,70.34299495897721,70.34299495897721,70.34299495897721,71.36164116696455,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
0,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,1,1,0,,,,,,,71.36164116696455,71.36164116696455,72.37647675001062,73.26236333395354,73.47618224995676,73.47618224995676,73.47618224995676,74.34296945889946,74.34296945889946,74.34296945889946,74.34296945889946,75.36184066697024,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
1,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,2,2,1,,,,,,,75.36184066697024,75.36184066697024,76.37643579195719,77.26238266692962,77.47622495889664,77.47622495889664,77.47622495889664,78.34273570892401,78.34273570892401,78.34273570892401,78.34273570892401,79.3618347919546,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
8,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,3,3,8,,,,,,,79.3618347919546,79.3618347919546,80.37651424994692,81.26234487490728,81.47643099993002,81.47643099993002,81.47643099993002,82.34299095894676,82.34299095894676,82.34299095894676,82.34299095894676,83.36185220896732,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
6,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,4,4,6,,,,,,,83.36185220896732,83.36185220896732,84.37643858394586,85.26245220890269,85.47643991699442,85.47643991699442,85.47643991699442,86.34295104199555,86.34295104199555,86.34295104199555,86.34295104199555,87.36248433392029,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
3,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,5,5,3,,,,,,,87.36248433392029,87.36248433392029,88.37619499990251,89.26187866693363,89.4764248339925,89.4764248339925,89.4764248339925,90.34319374989718,90.34319374989718,90.34319374989718,90.34319374989718,91.36241270892788,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
5,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,6,6,5,,,,,,,91.36241270892788,91.36241270892788,92.37645045900717,93.26261970889755,93.47647854196839,93.47647854196839,93.47647854196839,94.34323387499899,94.34323387499899,94.34323387499899,94.34323387499899,95.36398129200097,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
2,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,7,7,2,,,,,,,95.36398129200097,95.36398129200097,96.37654191697948,97.26252599991858,97.47643758391496,97.47643758391496,97.47643758391496,98.34278883400839,98.34278883400839,98.34278883400839,98.34278883400839,99.36194887501188,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
4,PRED,12,1.1363968393226498,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1363968393226498,2.13639683932265,0.86360316067735,3.0,1,1.8863968393226498,0,4.0,3.0,1,2,0,0,0,0,0,8,8,4,,,,,,,99.36194887501188,99.36194887501188,100.3764454589691,101.262742208899,101.4764386669267,101.4764386669267,101.4764386669267,102.3431618749164,102.3431618749164,102.3431618749164,102.3431618749164,103.36454108392354,100001,001,2023-03-27_13h00.07.398,DMS_et_12-36,2022.2.4,None,
