0.9313 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.0940 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [3840, 2160]. Using actual size
13.2327 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.2338 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0.00392157, 0.00392157, 0.00392157]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f943a04b7f0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f93dae7deb0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2342 	EXP 	window1: mouseVisible = True
13.2351 	EXP 	window1: mouseVisible = False
13.2351 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.2352 	EXP 	window1: recordFrameIntervals = False
13.4125 	EXP 	window1: recordFrameIntervals = True
15.0789 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.6440 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='awaiting trigger', units='height', win=Window(...), wrapWidth=1)
17.6448 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
17.6499 	EXP 	Created sample = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='sample', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.62029439, 10.62029439]), texRes=128.0, units='cm', win=Window(...))
17.6558 	EXP 	Created Delay = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Delay', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.6688 	EXP 	Created Response_1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/picture_1.png', interpolate=True, mask=None, maskParams=None, name='Response_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.71895075, 10.71895075]), texRes=128.0, units='cm', win=Window(...))
17.6757 	EXP 	Created Response_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='images/picture_2.png', interpolate=True, mask=None, maskParams=None, name='Response_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.71895075, 10.71895075]), texRes=128.0, units='cm', win=Window(...))
17.7085 	EXP 	Created Response_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='images/picture_3.png', interpolate=True, mask=None, maskParams=None, name='Response_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10.71895075, 10.71895075]), texRes=128.0, units='cm', win=Window(...))
17.7097 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.7105 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
17.7112 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
17.7147 	EXP 	Created calibrationTarget = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibrationTarget', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0., 0.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.7181 	EXP 	Created calibrationTargetInner = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, fillColor=array([-1.        ,  0.00392157, -1.        ]), fillColorSpace='rgb', fillRGB=array([-1.        ,  0.00392157, -1.        ]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibrationTargetInner', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0., 0.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
22.9331 	DATA 	Keypress: escape
22.9540 	WARNING 	t of last frame was 7875.33ms (=1/0)
22.9773 	WARNING 	t of last frame was 23.30ms (=1/42)
22.9773 	EXP 	text: autoDraw = True
23.0006 	WARNING 	t of last frame was 23.35ms (=1/42)
24.9340 	WARNING 	t of last frame was 22.14ms (=1/45)
25.9669 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
90.3051 	DATA 	Keypress: t
90.8259 	EXP 	text: autoDraw = False
90.8259 	EXP 	text_2: autoDraw = True
93.3087 	DATA 	Keypress: t
96.2987 	DATA 	Keypress: t
99.3004 	DATA 	Keypress: t
102.3002 	DATA 	Keypress: t
102.8139 	EXP 	Created sequence: random, trialTypes=1, nReps=12, seed=None
102.8144 	EXP 	New trial (rep=0, index=0): None
102.8336 	EXP 	Imported /Users/richard/Visual_Attention/data/200003/DMS_et_12-36/2023-04-07_13h44.06.307/0-PRED_12-36.csv as conditions, 9 conditions, 35 params
102.8342 	EXP 	Created sequence: random, trialTypes=9, nReps=9, seed=None
102.8352 	EXP 	New trial (rep=0, index=0): OrderedDict([('trial_count', 6), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [11.733433509789464, 11.733433509789462]), ('responseImage1_X', 11.733433509789464), ('responseImage1_Y', 11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage2_X', -11.733433509789464), ('responseImage2_Y', -11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789462, -11.733433509789466]), ('responseImage3_X', 11.733433509789462), ('responseImage3_Y', -11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
102.8629 	EXP 	text_2: autoDraw = False
102.8629 	EXP 	text_2: autoDraw = False
102.8629 	EXP 	sample: image = 'images/picture_3.png'
102.8629 	EXP 	sample: autoDraw = True
102.8629 	EXP 	Delay: autoDraw = True
103.8647 	EXP 	sample: autoDraw = False
104.1456 	EXP 	Delay: autoDraw = False
104.3789 	EXP 	Response_1: autoDraw = True
104.3789 	EXP 	Response_2: autoDraw = True
104.3789 	EXP 	Response_3: autoDraw = True
105.3005 	DATA 	Keypress: t
105.8454 	EXP 	Response_1: autoDraw = False
105.8454 	EXP 	Response_2: autoDraw = False
105.8454 	EXP 	Response_3: autoDraw = False
105.8454 	EXP 	polygon: autoDraw = True
106.8314 	EXP 	New trial (rep=0, index=1): OrderedDict([('trial_count', 8), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [11.733433509789462, -11.733433509789466]), ('responseImage1_X', 11.733433509789462), ('responseImage1_Y', -11.733433509789464), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage2_X', -11.733433509789462), ('responseImage2_Y', 11.733433509789464), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage3_X', -11.733433509789464), ('responseImage3_Y', -11.733433509789462), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
106.8462 	EXP 	polygon: autoDraw = False
106.8462 	EXP 	sample: autoDraw = False
106.8462 	EXP 	Delay: autoDraw = False
106.8462 	EXP 	Response_1: autoDraw = False
106.8462 	EXP 	Response_2: autoDraw = False
106.8462 	EXP 	Response_3: autoDraw = False
106.8462 	EXP 	polygon: autoDraw = False
106.8462 	EXP 	sample: image = 'images/picture_3.png'
106.8462 	EXP 	sample: autoDraw = True
106.8462 	EXP 	Delay: autoDraw = True
107.8456 	EXP 	sample: autoDraw = False
108.1454 	EXP 	Delay: autoDraw = False
108.3002 	DATA 	Keypress: t
108.3785 	EXP 	Response_1: autoDraw = True
108.3785 	EXP 	Response_2: autoDraw = True
108.3785 	EXP 	Response_3: autoDraw = True
109.8457 	EXP 	Response_1: autoDraw = False
109.8457 	EXP 	Response_2: autoDraw = False
109.8457 	EXP 	Response_3: autoDraw = False
109.8457 	EXP 	polygon: autoDraw = True
110.8323 	EXP 	New trial (rep=0, index=2): OrderedDict([('trial_count', 3), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [11.733433509789464, 11.733433509789462]), ('responseImage1_X', 11.733433509789464), ('responseImage1_Y', 11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage2_X', -11.733433509789464), ('responseImage2_Y', -11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789462, -11.733433509789466]), ('responseImage3_X', 11.733433509789462), ('responseImage3_Y', -11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
110.8643 	EXP 	polygon: autoDraw = False
110.8643 	EXP 	sample: autoDraw = False
110.8643 	EXP 	Delay: autoDraw = False
110.8643 	EXP 	Response_1: autoDraw = False
110.8643 	EXP 	Response_2: autoDraw = False
110.8643 	EXP 	Response_3: autoDraw = False
110.8643 	EXP 	polygon: autoDraw = False
110.8643 	EXP 	sample: image = 'images/picture_3.png'
110.8643 	EXP 	sample: autoDraw = True
110.8643 	EXP 	Delay: autoDraw = True
111.3000 	DATA 	Keypress: t
111.8789 	EXP 	sample: autoDraw = False
112.1646 	EXP 	Delay: autoDraw = False
112.3790 	EXP 	Response_1: autoDraw = True
112.3790 	EXP 	Response_2: autoDraw = True
112.3790 	EXP 	Response_3: autoDraw = True
113.8456 	EXP 	Response_1: autoDraw = False
113.8456 	EXP 	Response_2: autoDraw = False
113.8456 	EXP 	Response_3: autoDraw = False
113.8456 	EXP 	polygon: autoDraw = True
114.3000 	DATA 	Keypress: t
114.8324 	EXP 	New trial (rep=0, index=3): OrderedDict([('trial_count', 5), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage1_X', -11.733433509789462), ('responseImage1_Y', 11.733433509789464), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage2_X', -11.733433509789464), ('responseImage2_Y', -11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789462, -11.733433509789466]), ('responseImage3_X', 11.733433509789462), ('responseImage3_Y', -11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
114.8641 	EXP 	polygon: autoDraw = False
114.8641 	EXP 	sample: autoDraw = False
114.8641 	EXP 	Delay: autoDraw = False
114.8641 	EXP 	Response_1: autoDraw = False
114.8641 	EXP 	Response_2: autoDraw = False
114.8641 	EXP 	Response_3: autoDraw = False
114.8641 	EXP 	polygon: autoDraw = False
114.8641 	EXP 	sample: image = 'images/picture_3.png'
114.8641 	EXP 	sample: autoDraw = True
114.8641 	EXP 	Delay: autoDraw = True
115.8790 	EXP 	sample: autoDraw = False
116.1647 	EXP 	Delay: autoDraw = False
116.3789 	EXP 	Response_1: autoDraw = True
116.3789 	EXP 	Response_2: autoDraw = True
116.3789 	EXP 	Response_3: autoDraw = True
117.2991 	DATA 	Keypress: t
117.8459 	EXP 	Response_1: autoDraw = False
117.8459 	EXP 	Response_2: autoDraw = False
117.8459 	EXP 	Response_3: autoDraw = False
117.8459 	EXP 	polygon: autoDraw = True
118.8324 	EXP 	New trial (rep=0, index=4): OrderedDict([('trial_count', 7), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage1_X', -11.733433509789464), ('responseImage1_Y', -11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [11.733433509789462, -11.733433509789466]), ('responseImage2_X', 11.733433509789462), ('responseImage2_Y', -11.733433509789464), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage3_X', -11.733433509789462), ('responseImage3_Y', 11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
118.8647 	EXP 	polygon: autoDraw = False
118.8647 	EXP 	sample: autoDraw = False
118.8647 	EXP 	Delay: autoDraw = False
118.8647 	EXP 	Response_1: autoDraw = False
118.8647 	EXP 	Response_2: autoDraw = False
118.8647 	EXP 	Response_3: autoDraw = False
118.8647 	EXP 	polygon: autoDraw = False
118.8647 	EXP 	sample: image = 'images/picture_3.png'
118.8647 	EXP 	sample: autoDraw = True
118.8647 	EXP 	Delay: autoDraw = True
119.8789 	EXP 	sample: autoDraw = False
120.1649 	EXP 	Delay: autoDraw = False
120.2999 	DATA 	Keypress: t
120.3787 	EXP 	Response_1: autoDraw = True
120.3787 	EXP 	Response_2: autoDraw = True
120.3787 	EXP 	Response_3: autoDraw = True
121.8456 	EXP 	Response_1: autoDraw = False
121.8456 	EXP 	Response_2: autoDraw = False
121.8456 	EXP 	Response_3: autoDraw = False
121.8456 	EXP 	polygon: autoDraw = True
122.8323 	EXP 	New trial (rep=0, index=5): OrderedDict([('trial_count', 1), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage1_X', -11.733433509789462), ('responseImage1_Y', 11.733433509789464), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [11.733433509789464, 11.733433509789462]), ('responseImage2_X', 11.733433509789464), ('responseImage2_Y', 11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage3_X', -11.733433509789464), ('responseImage3_Y', -11.733433509789462), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
122.8640 	EXP 	polygon: autoDraw = False
122.8640 	EXP 	sample: autoDraw = False
122.8640 	EXP 	Delay: autoDraw = False
122.8640 	EXP 	Response_1: autoDraw = False
122.8640 	EXP 	Response_2: autoDraw = False
122.8640 	EXP 	Response_3: autoDraw = False
122.8640 	EXP 	polygon: autoDraw = False
122.8640 	EXP 	sample: image = 'images/picture_3.png'
122.8640 	EXP 	sample: autoDraw = True
122.8640 	EXP 	Delay: autoDraw = True
123.3003 	DATA 	Keypress: t
123.8789 	EXP 	sample: autoDraw = False
124.1649 	EXP 	Delay: autoDraw = False
124.3789 	EXP 	Response_1: autoDraw = True
124.3789 	EXP 	Response_2: autoDraw = True
124.3789 	EXP 	Response_3: autoDraw = True
125.8456 	EXP 	Response_1: autoDraw = False
125.8456 	EXP 	Response_2: autoDraw = False
125.8456 	EXP 	Response_3: autoDraw = False
125.8456 	EXP 	polygon: autoDraw = True
126.3000 	DATA 	Keypress: t
126.8322 	EXP 	New trial (rep=0, index=6): OrderedDict([('trial_count', 2), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.5359125165934148), ('stimImage_i', 2), ('stimImage', 'images/picture_3.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [11.733433509789462, -11.733433509789466]), ('responseImage1_X', 11.733433509789462), ('responseImage1_Y', -11.733433509789464), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [11.733433509789464, 11.733433509789462]), ('responseImage2_X', 11.733433509789464), ('responseImage2_Y', 11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage3_X', -11.733433509789464), ('responseImage3_Y', -11.733433509789462), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.5359125165934148), ('resp_onset', 1.5359125165934149), ('resp_dur', 1.4640874834065851), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.2859125165934149), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
126.8641 	EXP 	polygon: autoDraw = False
126.8641 	EXP 	sample: autoDraw = False
126.8641 	EXP 	Delay: autoDraw = False
