trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.74992983300035,22.74992983300035,t,73.62120058400069,,,,,,,,,,,,,,,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
7,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,0,0,7,,,,,96.89089787500052,108.91437408300044,108.91437408300044,108.91437408300044,109.92864545799966,110.72868766700049,110.96180220800125,110.96180220800125,110.96180220800125,111.89516262500001,111.91500158300005,111.91500158300005,111.91500158300005,112.89473287500005,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
6,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,1,1,6,,,,,,,112.89473287500005,112.89473287500005,113.89526162500078,114.71498641700055,114.94814154199958,114.94814154199958,114.94814154199958,115.89514687500014,115.89514687500014,115.89514687500014,115.89514687500014,116.89487545799966,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
3,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,2,2,3,,,,,,,116.89487545799966,116.89487545799966,117.8951695830001,118.71468537500004,118.94774887499989,118.94774887499989,118.94774887499989,119.89497300000039,119.89497300000039,119.89497300000039,119.89497300000039,120.89460458299982,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
5,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,3,3,5,,,,,,,120.89460458299982,120.89460458299982,121.89522666700032,122.71509912500005,122.94784570800039,122.94784570800039,122.94784570800039,123.89512416700018,123.89512416700018,123.89512416700018,123.89512416700018,124.89487720800025,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
0,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,4,4,0,,,,,,,124.89487720800025,124.89487720800025,125.8951391669998,126.71469866699954,126.9479792080001,126.9479792080001,126.9479792080001,127.89513675000126,127.89513675000126,127.89513675000126,127.89513675000126,128.89463808300025,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
2,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,5,5,2,,,,,,,128.89463808300025,128.89463808300025,129.89503937500012,130.7147439170003,130.94780241700028,130.94780241700028,130.94780241700028,131.89530150000064,131.89530150000064,131.89530150000064,131.89530150000064,132.8946960000012,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
1,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,6,6,1,,,,,,,132.8946960000012,132.8946960000012,133.89530254199963,134.71501037500093,134.9484731249995,134.9484731249995,134.9484731249995,135.89514150000105,135.89514150000105,135.89514150000105,135.89514150000105,136.89466449999964,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
4,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,7,7,4,,,,,,,136.89466449999964,136.89466449999964,137.89546937500018,138.7151232920005,138.94788437500029,138.94788437500029,138.94788437500029,139.89477991700005,139.89477991700005,139.89477991700005,139.89477991700005,140.89460599999984,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
8,PRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,0,0,0,0,0,8,8,8,,,,,,,140.89460599999984,140.89460599999984,141.8950906250011,142.71513958300056,142.9478639170011,142.9478639170011,142.9478639170011,143.89522579200093,143.89522579200093,143.89522579200093,143.89522579200093,144.91448695799954,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
