1.0061 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
2014.6084 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
2014.6136 	EXP 	Created calibrationTarget = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibrationTarget', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0., 0.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
2014.6170 	EXP 	Created calibrationTargetInner = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, fillColor=array([-1.        ,  0.00392157, -1.        ]), fillColorSpace='rgb', fillRGB=array([-1.        ,  0.00392157, -1.        ]), interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibrationTargetInner', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0., 0.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
2191.1864 	DATA 	Keypress: c
2191.1890 	DATA 	Keypress: return
2191.1901 	DATA 	Keypress: v
2191.1907 	DATA 	Keypress: return
2191.1917 	DATA 	Keypress: escape
2191.2649 	WARNING 	t of last frame was 179175.14ms (=1/0)
2191.2830 	EXP 	text: autoDraw = True
2191.3168 	WARNING 	t of last frame was 33.71ms (=1/29)
2191.7435 	WARNING 	t of last frame was 20.64ms (=1/48)
2193.5142 	WARNING 	t of last frame was 24.28ms (=1/41)
2194.0101 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
2257.3932 	DATA 	Keypress: t
2257.4130 	EXP 	text: autoDraw = False
2257.4130 	EXP 	text_2: autoDraw = True
2258.9038 	DATA 	Keypress: t
2260.3931 	DATA 	Keypress: t
2261.8931 	DATA 	Keypress: t
2263.3938 	DATA 	Keypress: t
2264.8931 	DATA 	Keypress: t
2266.3930 	DATA 	Keypress: t
2267.8930 	DATA 	Keypress: t
2269.3931 	DATA 	Keypress: t
2269.4148 	EXP 	Created sequence: random, trialTypes=1, nReps=12, seed=None
2269.4154 	EXP 	New trial (rep=0, index=0): None
2269.4449 	EXP 	Imported /Users/richard/Visual_Attention/data/200003/DMS_et_12-36/2023-03-22_12h36.15.163/0-PRED_12-36.csv as conditions, 9 conditions, 35 params
