trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.4120789580047,154.4120789580047,t,62.270307041937485,,,,,,,,,,,,,,,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
2,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,0,0,2,,,,,217.1975897080265,229.22753441601526,229.22753441601526,229.22753441601526,230.22552495799027,231.05904729105532,231.29244479106274,231.29244479106274,231.29244479106274,232.22573529102374,232.22573529102374,232.22573529102374,232.22573529102374,233.22467866609804,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
5,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,1,1,5,,,,,,,233.22467866609804,233.22467866609804,234.22574908309616,235.05921591608785,235.2923054160783,235.2923054160783,235.2923054160783,236.22571229108144,236.22571229108144,236.22571229108144,236.22571229108144,237.2255399581045,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
7,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,2,2,7,,,,,,,237.2255399581045,237.2255399581045,238.2254986250773,239.05900383309927,239.2923160000937,239.2923160000937,239.2923160000937,240.22575679107103,240.22575679107103,240.22575679107103,240.22575679107103,241.22522012505215,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
8,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,3,3,8,,,,,,,241.22522012505215,241.22522012505215,242.2255932081025,243.05903033306822,243.29249079106376,243.29249079106376,243.29249079106376,244.22575550002512,244.22575550002512,244.22575550002512,244.22575550002512,245.22546595800668,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
0,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,4,4,0,,,,,,,245.22546595800668,245.22546595800668,246.22573762503453,247.05922195804305,247.29245029110461,247.29245029110461,247.29245029110461,248.2254947910551,248.2254947910551,248.2254947910551,248.2254947910551,249.22522570809815,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
6,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,5,5,6,,,,,,,249.22522570809815,249.22522570809815,250.22578508302104,251.05929045809899,251.29233399999794,251.29233399999794,251.29233399999794,252.22574833303224,252.22574833303224,252.22574833303224,252.22574833303224,253.22519062506035,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
1,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,6,6,1,,,,,,,253.22519062506035,253.22519062506035,254.22565720800776,255.0591896250844,255.29254412499722,255.29254412499722,255.29254412499722,256.2260014161002,256.2260014161002,256.2260014161002,256.2260014161002,257.2252848750213,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
3,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,7,7,3,,,,,,,257.2252848750213,257.2252848750213,258.22560200002044,259.0590186660411,259.2924978330266,259.2924978330266,259.2924978330266,260.2257896660594,260.2257896660594,260.2257896660594,260.2257896660594,261.2252485000063,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
4,PRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,0,0,0,0,0,8,8,4,,,,,,,261.2252485000063,261.2252485000063,262.2259463330265,263.05926300003193,263.2925475410884,263.2925475410884,263.2925475410884,264.22577516606543,264.22577516606543,264.22577516606543,264.22577516606543,265.24534295802005,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
