trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Response_1.started,Response_2.started,Response_3.started,Delay.stopped,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,polygon.stopped,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.65223295800388,102.65223295800388,t,56.02237104193773,,,,,,,,,,,,,,,,,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
5,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,0,0,5,,,,,158.68907454202417,171.2511397920316,0.005645958008244634,171.2511397920316,171.2511397920316,172.25528558297083,172.3699996669311,172.3699996669311,172.3699996669311,172.63667000003625,173.73688179196324,173.73688179196324,173.73688179196324,173.73688179196324,174.73687654198147,4.512248917017132,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
1,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,1,1,1,,,,,,,0.003895374946296215,176.2583080419572,176.2583080419572,177.27015091700014,177.39011779194698,177.39011779194698,177.39011779194698,177.65627129201312,178.77040999999736,178.77040999999736,178.77040999999736,178.7564317919314,179.7700732080266,4.513514874968678,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
0,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,2,2,0,,,,,,,0.004303124966099858,181.28692716697697,181.28692716697697,182.28992825001478,182.40331249998417,182.40331249998417,182.40331249998417,182.67013216693886,183.770311166998,183.770311166998,183.770311166998,183.770311166998,184.77033312502317,4.506613333011046,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
8,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,3,3,8,,,,,,,0.003577832947485149,186.30343870795332,186.30343870795332,187.30366820795462,187.4231504999334,187.4231504999334,187.4231504999334,187.68983749998733,188.80362862499896,188.80362862499896,188.80362862499896,188.790077041951,189.80383816699032,4.507901791948825,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
3,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,4,4,3,,,,,,,0.005152249941602349,191.31439962494187,191.31439962494187,192.32233779202215,192.43666816700716,192.43666816700716,192.43666816700716,192.70333429193124,193.80361379194073,193.80361379194073,193.80361379194073,193.80361379194073,194.80382129200734,4.505848624976352,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
2,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,5,5,2,,,,,,,0.004959916928783059,196.33415129198693,196.33415129198693,197.3371409169631,197.45637962501496,197.45637962501496,197.45637962501496,197.72222266695462,198.83692087500822,198.83692087500822,198.83692087500822,198.82345195801463,199.83697054197546,4.512600417016074,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
6,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,6,6,6,,,,,,,0.003787167021073401,201.35539466701448,201.35539466701448,202.37038095796015,202.47038091695867,202.47038091695867,202.47038091695867,202.73670095799025,203.8369229999371,203.8369229999371,203.8369229999371,203.8369229999371,204.8369433330372,4.520937707973644,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
7,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,7,7,7,,,,,,,0.004933792049996555,206.38247258297633,206.38247258297633,207.38980041700415,207.50324808293954,207.50324808293954,207.50324808293954,207.77005858300254,208.87038608302828,208.87038608302828,208.87038608302828,208.87038608302828,209.8703919579275,4.50603916705586,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
4,PRED,12,0.6327428318759004,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.6327428318759004,1.6327428318759003,1.3672571681240997,3.0,1,1.3827428318759003,0,4.0,3.0,1,2,0,0,0,0,0,8,8,4,,,,,,,0.00514033401850611,211.40333762497175,211.40333762497175,212.40356174996123,212.5230384169845,212.5230384169845,212.5230384169845,212.78964758303482,213.9034687919775,213.9034687919775,213.9034687919775,213.8890058749821,214.90364466700703,4.509669209015556,200003,003,2023-03-22_13h14.09.070,DMS_et_12-36,2022.2.4,None,
