delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_pos_ind,responseImage1_location,responseImage1_location_i,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_pos_ind,responseImage2_location,responseImage2_location_i,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_pos_ind,responseImage3_location,responseImage3_location_i,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,sample.started,Fixation.stopped,sample.stopped,Delay.started,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,participant,session,date,expName,psychopyVersion,frameRate,
0.5,1,images/picture_2.png,images/picture_3.png,2,"(1, 1)",2,topleft,0,images/picture_2.png,0,"(1, -1)",1,bottomleft,2,images/picture_1.png,1,"(-1, 1)",0,topright,3,0,0,0,0,12.080306391988415,12.080306391988415,13.085580958984792,13.085580958984792,13.935575040988624,15.161505816999124,15.161505816999124,15.161505816999124,15.161505816999124,550352,001,2023-02-15_14h29.15.062,DMS,2022.2.4,61.08989964352229,
0.5,1,images/picture_2.png,images/picture_3.png,2,"(1, 1)",2,topleft,0,images/picture_2.png,0,"(1, -1)",1,bottomleft,2,images/picture_1.png,1,"(-1, 1)",0,topright,3,1,0,1,0,16.07253749098163,16.07253749098163,17.085214188991813,17.085214188991813,17.935661667987006,19.142938000994036,19.142938000994036,19.142938000994036,19.142938000994036,550352,001,2023-02-15_14h29.15.062,DMS,2022.2.4,61.08989964352229,
,,,,,,,,,,,,,,,,,,,,,,,,,20.074016712984303,20.074016712984303,21.084937199979322,21.084937199979322,,,,,,,,,,,,
